id,n_layer,n_head,wd,ood_acc,ood_acc_mean_ablated,delta_mean,delta_uniform,csv_ood_acc,sign,viol,head_type
fexunldd,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
c59i4zqy,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
x1jm6aa4,1,4,0.0,0.002,0.0,-0.002,-0.002,0.002,False,False,neither
u2fj6qvp,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
u6ff2wng,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
0pxqvyri,1,4,0.0,0.554,0.003,-0.551,-0.552,0.554,False,False,neither
51v3r83l,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
i4dirjr2,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
2cql0822,1,4,0.0,0.554,0.0,-0.554,-0.554,0.554,False,False,neither
jxaz4p4b,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
5598sc1p,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
i1yztosx,1,4,0.0,0.311,0.002,-0.309,-0.309,0.311,False,False,neither
blsr6i4l,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
ylsmfxag,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
k6de7m68,1,4,0.0,0.538,0.0,-0.538,-0.538,0.538,False,False,neither
qfd7tbtr,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
93q8wi7a,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
1rrygbco,1,4,0.0,0.391,0.0,-0.391,-0.391,0.391,False,False,neither
uuakiv3r,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
g1nv3br2,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
yor640k7,1,4,0.0,0.51,0.0,-0.51,-0.51,0.51,False,False,neither
j4ex603s,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
pbi3va8j,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
4lxymwdy,1,4,0.0,0.554,0.0,-0.554,-0.554,0.554,False,False,neither
jm3aixw6,1,4,0.01,0.0,0.0,0.0,0.0,0.0,False,False,neither
k3o9dk0f,1,4,0.001,0.0,0.0,0.0,0.0,0.0,False,False,neither
jr8sjtj3,1,4,0.0,0.18,0.0,-0.18,-0.18,0.18,False,False,neither
5d921tux,2,4,0.01,0.898,0.912,0.014000000000000012,0.01200000000000001,0.898,False,False,neither
zwaasut2,2,4,0.001,0.821,0.755,-0.06599999999999995,-0.07799999999999996,0.821,False,False,neither
gzara73y,2,4,0.0,0.286,0.277,-0.008999999999999952,-0.011999999999999955,0.286,False,False,neither
