id,n_layer,n_head,wd,layer,head,ood_acc,ood_acc_single_mean,delta_mean_single,delta_uniform_single,csv_ood_acc,sign_score,viol_score,head_type
ew6ocawx,2,2,0.0,1,1,0.851,0.916,0.06500000000000006,0.06300000000000006,0.851,0.0270000007003545,0.001,neither
ew6ocawx,2,2,0.0,1,2,0.851,0.909,0.05800000000000005,0.061000000000000054,0.851,0.0430000014603138,0.003,neither
ew6ocawx,2,2,0.0,2,1,0.851,0.735,-0.11599999999999999,-0.131,0.851,0.0049999998882412,0.986,violation-detecting
ew6ocawx,2,2,0.0,2,2,0.851,0.723,-0.128,-0.15000000000000002,0.851,0.1270000040531158,0.707,neither
irtoff2i,2,2,0.01,1,1,0.898,0.898,0.0,0.0,0.898,0.0,0.0,neither
irtoff2i,2,2,0.01,1,2,0.898,0.898,0.0,0.0,0.898,0.0,0.0,neither
irtoff2i,2,2,0.01,2,1,0.898,0.898,0.0,0.0,0.898,0.0,0.0,neither
irtoff2i,2,2,0.01,2,2,0.898,0.898,0.0,0.0,0.898,0.0,0.0,neither
5jiu3i86,2,2,0.001,1,1,0.005,0.005,0.0,0.0,0.005,0.0230000000447034,0.0,neither
5jiu3i86,2,2,0.001,1,2,0.005,0.005,0.0,0.0,0.005,0.0,0.012,neither
5jiu3i86,2,2,0.001,2,1,0.005,0.005,0.0,0.0,0.005,0.0,0.0,neither
5jiu3i86,2,2,0.001,2,2,0.005,0.005,0.0,0.0,0.005,0.0,0.0,neither
xmktkp86,2,2,0.0,1,1,0.294,0.332,0.038000000000000034,0.029000000000000026,0.294,0.0070000002160668,0.001,neither
xmktkp86,2,2,0.0,1,2,0.294,0.348,0.05399999999999999,0.055999999999999994,0.294,0.0010000000474974,0.003,neither
xmktkp86,2,2,0.0,2,1,0.294,0.291,-0.0030000000000000027,-0.0020000000000000018,0.294,0.1570000052452087,0.038,neither
xmktkp86,2,2,0.0,2,2,0.294,0.389,0.09500000000000003,0.10000000000000003,0.294,0.7020000219345093,0.006,neither
109k9pcu,2,2,0.01,1,1,0.854,0.854,0.0,0.0,0.854,0.0,0.0,neither
